id,tweet,subtask_a,subtask_b,subtask_c
18129,any updates re ending your blatant racism as windrush amp grenfell proves you are all out politics politics live pmqs,NOT,,
70380,do you know what is going to happen now i am going to have to lay in bed and cry while i listen to kelly clarkson thanks free speech anti fa,NOT,,
12108,you are not very smart are you why do you think gen flynn s sentencing keeps being rescheduled,OFF,TIN,IND
14726,that is expected if you placate the violent leftists terrorists kavanaugh confirmation woke,OFF,TIN,GRP
74358,blow hard,NOT,,
82599,that means you are a max lvl twitter user and may be should try a new game,NOT,,
40212,please explain what controlled opposition means as for bernier escaping he split with the rest of the conservatives because he is even more racist and exclusionary than they want to be,NOT,,
78367,socialists politics that stand up for the downtrodden and well done for conflating criticism of israel with anti semitism you are also part of the problem,NOT,,
66596,nina one of the reasons i did not read this book for so long was because i was so worried about her character i should have trusted everyone nina is a goddamn goddess i would die for a thousand times over she is big and bold and lovely and perfect her arc is perfect,NOT,,
70999,please vote no on kavanaugh he is not fit for scotus and allegations about women and shady financials should disqualify him rule of law matters metoo country over party withdraw kavanaugh stop kavanaugh,NOT,,
36026,ppl who say i am not racist are racist you are a racist repeat after me,NOT,,
29439,kathy the patriot statue of liberty you have to love our great president trump a spine of u s steel changing it on trade amp everything for american s america first usa maga leadership amp respect economy jobs peace thru strength god b less trump amp the usa grinning face statue of liberty statue of liberty statue of liberty grinning face,NOT,,
74477,wow you liberals really do not have a sense of humor face with rolling eyes,NOT,,
49845,i am so fucking ready,NOT,,
32305,holy moly if the catholic people have not been awakened by this false prophet lunatic,NOT,,
77243,lol yeah per dina he is there everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT,,
73205,what a surprise same as anti fa blm and so on and so on soros is americas worst enemy in history he believes the only way to take down the usa is from within g and hes right but it is not gunna happen,NOT,,
47311,me to o her wedding was the best she is very pretty,NOT,,
48553,no conflict here don t look at this soros involved in violent left agenda of antifa also,NOT,,
75689,any of your announcements every come to fruition or is it basically stealing labour s ideas to get a few more votes,NOT,,
84102,out of british people are basically full on racist s out of voters vote for the conservatives coincidence,OFF,TIN,GRP
10607,gun control advocates must stop falling all over themselves to assure electorate that they too love the horrific a,NOT,,
43913,hi there we love what a huge fan of camila mendes you are would it be alright if we used your tweet about her in our promotional material,NOT,,
98992,fuck off,OFF,TIN,IND
92056,certainly a weird view toward the margaret sanger geonic id al philosophy of aborting minorities i would like to know if the black population that suffers the most shares her opinion,NOT,,
33853,the prison system is so fucked why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane they did this in louisiana and like inmates went missing,OFF,TIN,OTH
75215,she is useless attempts to do the right thing but never follows through,OFF,TIN,IND
96218,walk away liberal s your party is poison,NOT,,
57013,grateful trump does not have a dog in the white house he is a cruel man,OFF,TIN,IND
20883,you are lying stick with the facts we pay more than that now,NOT,,
74831,trump kicks dem butt it is so fun,OFF,TIN,IND
53264,he is dumb and dumber all in one president it is a two for one,OFF,TIN,IND
28204,toxictory minister attempted to expense charity donation it is what do tories must go dissolve the union,NOT,,
42024,ur so straight for word man ok hand i saw u in dance dew wane and ur just talk free ky ap kit nay porr any ho industry me in and i really like ur this quality that u even gather with ur senior green heart artist love for manmarziyaan cowboy hat face thumb s up,NOT,,
84664,and this from the clown that should be in prison,OFF,TIN,IND
54842,did twitter silence alex jones in retaliation of him asking twitter jack questions,NOT,,
48995,that is because you are an old man,OFF,TIN,IND
47153,they are obstructionist s anti american pharisees ask them what they are running on and you get nothing maga,OFF,TIN,OTH
76826,no you are not you re here represent the alinsky ite orwellian leftist to ol amp fool view on things like of the marxists amp antifa similar u psst and b u use the words fascist or fascism again go ahead amp read d souza s book the big lie right now u know squat about either,NOT,,
27645,i do remember frown sad andry or p outing but somehow centrist anti fa haters can never quite seem to bring themselves to condemn such things,NOT,,
64429,i mean it worked for gun control right,OFF,TIN,GRP
20943,i think the last thing on the wh or trump s mind is april ryan she needs to stop flattering herself she is not as important as she thinks she is,NOT,,
78064,principled conservatives are hypo crickets,NOT,,
14122,do not forget amp democrat backed antifa,NOT,,
72353,she is a beautiful person to teach values to her kids teaching them they are royalty but keep to keep it from going to their heads stay real red heart,NOT,,
39051,bring out his antifa criminal son to campaign for him,NOT,,
54546,i did not watch and will not watch watching the september th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment protest on a saturday,NOT,,
50759,a tear is made of water and feelings,NOT,,
75992,trump addresses gun control representing the nra i will not let you down he says,NOT,,
45068,she is drinking so much kool aid she is bloated,OFF,TIN,IND
17259,holder needs to be prosecuted,NOT,,
95225,but but both players we are women and both we are women of color,NOT,,
84667,the institution only let her tweet when she behaves she is a window licker,OFF,TIN,IND
14574,* babysitting kids* people how old do you think she is she has three kids me *dont get mad do not get mad they do not know they do not know *,NOT,,
23784,well,NOT,,
93119,wtc this is a threat maga qanon wake up america,OFF,TIN,IND
30115,it is easily digestible content there is no need for nuance or to even understand the story they can show a picture of an anti fa and get the base level emotional response their content requires in order to be profitable,NOT,,
69281,try looking for plain old democrats the liberals are the ones which you cannot have a conversation with,NOT,,
15322,great news old moonbeam just went into a coma face with tears of joy,NOT,,
75089,omg he is so extra ily,NOT,,
21379,please call trump out for what he is a narcissistic sociopath,OFF,TIN,IND
43133,unfortunately in america a system like that would be called racist liberals believe exams are racist against minority groups,NOT,,
52102,i know she is still alive but wondering if her career was railroad ed odd loved her especially that day,NOT,,
59537,guy you are always present bet why lol,NOT,,
44209,what a baby,NOT,,
96664,you are very persuasive fam,NOT,,
12559,that is nothing new she was going to vote no anyway we will vote no to liberals in november,NOT,,
61914,burt a cool dude,NOT,,
32317,maga if you are all in for trump follow me and i will follow back,NOT,,
94767,thank u i am finally at the point where i am okay with using heat on it again i am so happy,NOT,,
64835,kind of like what trump does all the time huh,NOT,,
41353,because a former antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me,NOT,,
52252,fuck em,OFF,TIN,GRP
91001,good move he is the big loser,OFF,TIN,IND
18495,let us get to the bottom of this dm me your zip code and i will check it out we have your back and we will make sure you are enjoying the best that tv has to offer asap *nevin bruce,NOT,,
76680,for the record i know doug jones personally and he is only a sen bc we had no other credible choice he will not be at the next election,NOT,,
88013,the president s feelings are totally opposite of cnn s feelings so what does that say about cnn the y are all liberal s,NOT,,
66349,it is literally a narrative that is on par with nazis punch antifa punch they are two sides of the same coin no ooo oo oo one of these groups wants to exterminate or deport all poc and jews the other just wants to prevent them from doing that and this comparison benefits fash,OFF,UNT,
80561,there are many dumb arguments for gun control but this may be the dumbest and most common,OFF,TIN,IND
16052,she is idk what is going on,NOT,,
49996,you all need to chill he is having a really abysmal nd half rizzo had an abysmal st half it is baseball it happens does he have things he still needs to work on yes has the power numbers dropped yes but he could bounce back at any time,NOT,,
77086,dude you are old lmao ps go pack go,NOT,,
10972,that is why trump supporters cannot even wear a hat without being abused if they meet the animals on the left attack the m antifa is a branch of the communist socialist naz is democrat party,NOT,,
69160,the laughs i have gotten from you are enough relieved face,NOT,,
28380,well,NOT,,
40252,first of all they do not even have pizza at panera,NOT,,
39907,please do not kill me antifa on the other hand,OFF,TIN,IND
16164,did you see shanahan say spoon was not healthy this game obviously no excuses if you are out there but may be it is not the all is doom sort of thing it seemed during the game may be he is still pretty good,NOT,,
52824,good girl,NOT,,
77294,she is an ugly black hearted troll,OFF,TIN,IND
13420,you are clearly not a pokemon master i have almost in rare candy alone over legacy moveset pokemon it just all depends on what you like to keep as collection pieces and what you value in the game,NOT,,
16940,do not believe the hype,OFF,UNT,
83816,followed all new maga please follow back,NOT,,
99156,protests reported in sunderland except these are football fan and one flag says west brom on it getting worse now even as i type maga mega mbga mcga conservatives patriots muslims far left leftists doomed to lose but do not realises it civil war soon,NOT,,
11255,liberals would still vote for him the y will claim his comments we are taken out of context and that he is still a man of integrity,NOT,,
28841,we have been saved from you maga,OFF,TIN,IND
79060,you are bringing up honor and decency with that yo yo in the picture that is rich,NOT,,
71682,good riddance,NOT,,
17577,she is a goddess,NOT,,
27503,omg xd the worst or the best in my case is the best cuase it made me laught part was her asking is he dead does that hurts poor thing and the rest stand in there like nope he is no suffering so he is dead yeah pretty dead,NOT,,
59998,you can probably imagine all the sjw snowflakes that do not feel safe working where there might be conservatives lurking in the shadows conservatives are now the ru skies of the st century,OFF,TIN,IND
81119,i see may in the same light as yourself even the last election was about her and not the conservatives a split is coming to the tory party very soon,NOT,,
28812,this all i get crying face damn these haters deleting you ig for no reason,OFF,TIN,GRP
84131,do you think canadian liberals will actually blame trudeau if he costs them this or as per standard push it off on us,NOT,,
23179,you warned everyone about josh gordon the last months on a daily basis i am sure you are as shocked as i am of what transpired today,NOT,,
28601,why cannot liberals read read it again,NOT,,
64776,sjshsj that is my job bitch,OFF,TIN,IND
95712,do they discuss haiti,NOT,,
69972,what part of no collusion do not you get this is why you are a dumo crat,OFF,TIN,IND
37115,he is very skilled face with tears of joy face with tears of joy,NOT,,
80696,you are amazing yellow heart yellow heart yellow heart,NOT,,
68163,fist pump was for the troops,NOT,,
96789,if the reason for far akans illegal values are because he is black or muslim that would be a reason to detest him i believe his illegal values are simply a result of bad character like his supporters,OFF,TIN,GRP
68629,let the leftist democrats riot in the streets with their antifa counterparts,OFF,TIN,IND
66109,i thought canada had strict gun control help me understand what is happening,NOT,,
19419,they do not want you following people because they do not like conservatives sickening how biased twitter s management is twitter left bias,NOT,,
32942,he is doing life tho expressionless face,NOT,,
74285,it is so very important between now and the midterms to get the word out that all the democrats want people of color to believe is they support them which as you know is so false how can the word spread even more to those who need to know maga naacp,NOT,,
77319,antifa is not giving death threats to professor ford or threatening violence if their candidate loses or spanky is impeached,OFF,TIN,IND
30517,have you seen or listened to your antifa pals,NOT,,
69077,in case of antifa take a little bat or something good for you more of should do that kind of thing,NOT,,
67758,your titles scare me a little bit,NOT,,
35944,gt eradicating hiv and malaria in the middle of africa good bloody luck,NOT,,
48223,the only interaction of tory volunteers with fcp volunteers that i witnessed today was the one demanding that our float be moved to the back of the parade ableg cdnpoli,NOT,,
47168,and who seems to be getting things done,NOT,,
53947,i added a video to a playlist combat mon frere vs ismael et maga assassin vs david le boxer yfc,NOT,,
49504,so has the law changed you just make an allegation now days and your guilty until proven innocent liberals are mentally ill,OFF,TIN,GRP
66291,straight up different thank joe biden for that one i also wonder the outcome if her name had been antifa hill,NOT,,
31229,this game sucks donkey balls,OFF,TIN,GRP
75850,yo for real you are gorgeous,NOT,,
88546,absolutely should be a nail in the coffin for hill i ary,OFF,TIN,IND
29241,i hope he gets on twitter so i can tell him how amazing he is red heart grinning face with smiling eyes,NOT,,
19842,who are they gun control has been tried and is a proven failure this is why people do not vote democrat they refuse to admit reality gun control does not work,NOT,,
69232,so the overwhelming liberals in the populated states can make policy for the rest of america with whom they have no clue about just because california has the biggest population does not mean the u s shares in their values get a clue hillary,NOT,,
36471,does not he partly fund anti fa,NOT,,
32897,he is a dumbass,OFF,TIN,IND
62072,and levi strauss wanting gun control how many of us wonder why the heck do they want our freedoms taken away or is it just selective freedom s,OFF,TIN,GRP
95444,at this point in time i do not think pres trump gives a sh*t and neither do i lol,OFF,TIN,IND
51172,o k conservatives get to the polls vote red,NOT,,
62481,donnie jr you and your family owe the country an apology for taking your criminal activities into our white house you are lining your pockets while your father is unfit and making a mockery of our republic shame on you and your family justice will prevail,OFF,TIN,IND
71895,a harvard harris poll conducted this year found that percent of black americans said they would like to see between only one and legal immigrants brought to the u s a year maga tcot,NOT,,
78366,any doubt that have officially become the national socialist american workers party is gone with ppl like those on and acting as der sturmer and antifa as their einsatzgruppen waffen ss detachment,NOT,,
39021,oh my carmen he is so fricking cute,OFF,TIN,IND
68840,chelsea is as crazy as her mother,OFF,TIN,IND
96837,it is time the conservatives binned boris and sent ly in lynton back to australia,NOT,,
51815,the manifesto promised me my vote back so where is it you think br exit would have gone through if all the brits in the eu had been allowed to vote the referendum was gerrymandered,NOT,,
62023,the me too movement must be an extension of antifa and is a complete joke if this movement was not selective joe biden would be in court for fond ing girls on camera,NOT,,
10253,you are awesome thank you you give humanity hope,NOT,,
21367,goober,NOT,,
33797,another uninformed,NOT,,
11160,i forgot he is their foster child,NOT,,
32916,and the brainless dems wants us to believe that he does not have the majority liberals is just like their leaders the corrupts obama and crooked hillary both are real bad losers maga trump,OFF,TIN,GRP
47427,no fucking way he said this,NOT,,
87052,such supposedly smart people did not think for one moment that in the audience there are people who voted trump and are scared shitless hearing the top brass speak that way,NOT,,
29556,i am not surprised it takes a sick woman to make this type of accusations the kind you can only find on the far left liberals are praying that the really weak members of the gop like collins and flake will pull back their support,NOT,,
18547,california gun control is direct result of white people scared of black panthers using their right to bear arms nra had no problem with that gun control,OFF,TIN,GRP
32688,or where oct brazil citizens overwhelming voted no on the government implementing strict gun control by a factor of and the brazilian government still violates that referendum everyday as brazilians are murdered w zero effective method of self defense,NOT,,
57850,if we claim to be without sin we deceive ourselves and the truth is not in us if we confess our sins he is faithful and just and will forgive us our sins and purify us from all unrighteousness john,NOT,,
82607,and yet millions of permit holding people carried legally concealed firearms that same day and did not hurt themselves or anyone else but yet they want to have stronger gun control idiots face with raised eyebrow our wonderful media has to hype incidents that fits their agenda,OFF,TIN,GRP
82339,yes do hurt your selves gun control freaks,OFF,TIN,GRP
98077,you get more like this guy with every hysterical tweet,NOT,,
62815,he always shows dedication at what he does no wonder he is the best,NOT,,
34510,bullshit regulations are good because it keeps conservatives from striping our land into the abyss,OFF,TIN,GRP
53501,the owner of my culo,OFF,TIN,IND
69928,now she scarred herself for life lol maga,OFF,TIN,IND
31853,you fucking,OFF,TIN,IND
13872,confirm the man the left wing activist is a liar who is story changes no hard evidence christine blasey ford innocent until proven guilty confirm kavanaugh maga weakrinos republicans,OFF,TIN,GRP
30791,reagan also signed the first gun control bill as governor of ca,NOT,,
80385,awe hogwash do we really need you to over state the obvious,NOT,,
54292,years as a judge extensive background s not a peep link to trump boom do conservatives only rape liberal s,NOT,,
28985,i am assuming i am not going to get an answer brainless liberal stooge ocasio cortez on t policy plan wake up america this is not america s future vote republican or surrender america to these dem morons maga,OFF,TIN,OTH
52375,this man seriously needs mental health treatment and should have his firearms confiscated until he is no longer a danger to himself or others i am waiting for gun control advocates to add this to their list of school shooting s who buys caliber handguns why,NOT,,
74004,leftists showing yet again how vile they can be,OFF,TIN,GRP
70838,he is a drunk crazy man,OFF,TIN,IND
64577,honored to be included with all these fine patriots thank you rena maga united states grinning face two hearts united states dean,NOT,,
44448,please shut up ontario is seeing what conservatives stand for is not helping you loose this province your never going anywhere not they you will any way your completely out of tune with canadian mr harper oops i mean mr scheer common mistake you so much alike,NOT,,
53928,you are not alone i was sexually assaulted by a fellow law student in i never reported it because i did not think i would be believed however something happened that made me realize i was not his only victim then i felt i would made a colossal mistake,NOT,,
45337,but liberals do,NOT,,
85707,another terrorist attack not reported by msm,NOT,,
63292,do not know who you are so imma just,NOT,,
15991,all that money had not made u smarter,OFF,TIN,IND
25009,yes he is from gilmer it makes me laugh so much,NOT,,
90990,u both r my lifeline red heart folded h and s face with tears of joy,NOT,,
65785,always thought h ford was a level headed guy guess not note to for d climate change is summer fall winter spring happens every year get over it,NOT,,
38837,yeah we need some more made up bullshit protestors and antifa lol time for an epic beatdown winking face,OFF,UNT,
94182,unfortunately you are right keep it real she is the assault weapon,NOT,,
77653,she is real rocky fire fire fire oh my god,NOT,,
27238,thank you to everyone for making this possible you are amazing and so are the beautiful bears i am a member of olivers army and i appreciate everything you do to make lives better,NOT,,
12892,yeah we got everything sorted that needed to be sorted she is still only taking small sips of her wine unusual for emily but she guessed jj would not profile her,NOT,,
16885,by the way why do not you move to haiti you liberals seem to make shit holes out of large cities so go somewhere where it is already a shit hole so you do not have to do any work,OFF,TIN,GRP
46581,yes she is,NOT,,
41517,he tried this before and it went nowhere he is pro gun control done,NOT,,
22717,he could have killed as many with a hunting rifle with the time and vantage he had he had close to an hour before police entered his room his actual shooting was over min making this about gun control is just going to get more people killed we need to be smarter,NOT,,
88539,aha yes i see that the individual sense of needing to belong to a winning team because of the constant conditioning of self devaluation i see a strong sense of this on the q side but on the left hillary antifa side as well regardless if they think the y are winning or not,NOT,,
65786,oh no i know why that i just do not know what she is talking about because i do not see a tweet she is rep ling too lol,NOT,,
54437,and here we have another demonstration that gun free zones do not work brought to you by a liberal who more than likely supports stricter gun control,NOT,,
19514,should not pussy grabbing be the one wearing the gloves while handling food maga,OFF,TIN,IND
57943,you have no plan for the environment even conservatives should be able to understand that you have to be able to live on the planet to make money there,NOT,,
66328,this is what happens when you tell white liberals that they do not get to congratulate themselves on how woke they are until they put their money where their mouth is that simple fact of life breaks their brain s,NOT,,
34317,antifa does not beat facs ists to try to get them to change their mind they know it is a lost cause to try to change a fascist s mind they do it to scare them into hiding to demoralize the m and to stop the spread of their hateful ideology there is no forcing views on others,OFF,TIN,IND
44837,soros is at the root of everything and anything anti american he has his money in hollywood all the way to islam and antifa to illegals,NOT,,
36289,fire morning joe he is cut from the same cloth as all other conservatives his misogyny and bigotry are always on display he is responsible for trump,OFF,TIN,GRP
80570,truly has got to be the most idiotic thing i have ever seen,OFF,UNT,
43185,brigitte gabriel has experienced a life that most would have nightmares from she is sounding the alarm for american s buy her book pay attention to what she is warning america about,NOT,,
86477,it does work if you want to control a population australian gun control had no effect on homicides,OFF,TIN,OTH
67080,poor baby,NOT,,
96270,antifa democrats dixiecrats kkk,NOT,,
44015,liberals ruin everything,OFF,TIN,GRP
48060,and do not forget his telling a primarily black liberal audience conservatives want to put them back in chains,NOT,,
31065,sad for both to be exploited and also to have a reputation destroyed now i have read she is part of anti fa,NOT,,
11411,that is what happens when you let a liberal get a hold of a gun that would be a good place to start gun control ban liberals from getting guns,OFF,TIN,GRP
10133,you look happy maga,OFF,TIN,IND
22128,trump proposes racial profiling as a tactic to start thinking about,NOT,,
36518,introducing my sweet sweet baby king he is always sooo nice and when i try to sit on the sofa he never attacks me,NOT,,
59559,there all gone tho and inputed them from bottom to top with the first seconds of your tweet you good tm art thumbs up light skin tone,NOT,,
99618,exactly he is on record basically saying the president is above the law it should be noted that the gop is fine with this rudy has his own issues,NOT,,
53309,kamala harris the new dem emperor with no clothes taxpayers funded unprecedented armed protection for gun control sen kamala harris via,NOT,,
29497,yet she is fat herself,OFF,TIN,IND
84329,there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings are not about guilty innocence got on the bench times are diff now why as a journalist you do not call out white supremacy alt right but antifa and pick on,NOT,,
50315,you do not understand who he is and is capablities despite the proof in the economy my hypothesis is that you have been lied to by liberals your entire life and are believing what you are to ld the liberal media made bill clinton look good and could do the same with trump,NOT,,
97959,oath must be subpoenaed to testify there is a lifetime appointment at stake here please do it right this time amp do not allow orrin hatch who has already made up his mind she is lying be allowed to question her his kind of questions could invite a lawsuit,NOT,,
66524,you all are the best,NOT,,
97300,what a joke she is a gem alright she is a racist phony right along with this racist phony that thinks she will follow me from her second account and block me because i speak the truth i could care less about follower s like it is a big party i care that they discriminate,OFF,TIN,IND
12919,indeed he is,NOT,,
40855,because i am a little concerned about the q followers because they slowly become more and more a sort of right wing sjw antifa thingie also excuse me for my horrible english it is not my native langu ase and did not had much schooling in it so i am sorry if it sucks grinning face with sweat,NOT,,
84100,yep antifa are literally hitler,NOT,,
21270,wow you are so hot smiling face with heart eyes smiling face with heart e yes smiling face with heart eyes smiling face with heart eyes kissing face kissing face kissing face kissing fa ce kissing face,NOT,,
41818,she is the most deserving woman to be happy,NOT,,
12435,i have noticed a lot of conservatives are thoroughly disingenuous when engaging in twitter,NOT,,
14808,may be you have forgotten that at the moment we are eu citizens and so all rights afforded to us are the same as for other eu citizens do not believe all the shit that goes on in your head,OFF,TIN,GRP
82579,that is just modelling plenty of women make shit tons of money just for looking good,NOT,,
84523,just watching a horizon show about scientists that discovered a dna mix between humans and neanderthals would have thought trump getting elected would have been proof enough maga,NOT,,
61917,i hope there is a way to watch it on tv ted spanking liberals is always enjoyable,NOT,,
33322,just looked up his work history he is listed on the board of leading age services aust lasa and comes from medicare local alliance what ever the hell that is,OFF,UNT,
79251,he should look in a mirror,NOT,,
42540,i am sure he is purple heart,NOT,,
13881,send him this party manifesto where they promised they will help families may be that will remind him his duties hostile environment price on love skype families,NOT,,
70402,families being separated at the border in fact the picture of children in cages that liberals we are using to show how evil trump is was actually taken while obama was president,NOT,,
83462,but antifa is her people,NOT,,
87206,we had a peoples vote on june the people rejected the craven worship which you stand for by a majority of over m you are contemptuously defying the will of the people amp ge manifesto amp supporting soros in undermining democracy instead,NOT,,
87300,cause who bitches be playing with loudly crying face loudly crying face loudly crying face loudly crying face god is not give me the gift for nothing,OFF,TIN,GRP
54125,she is free as a bird to return to her muslim homeland,NOT,,
75848,*mom speaks into her phone to compose a text for my brother * she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling woman facepalm in g light skin tone,NOT,,
14948,melting snow flakes,NOT,,
66798,who is the victim that remains to be seen liberals have turned kavanaugh s hearings into a circus from the first minute it started,NOT,,
80497,coming from the man that threatened to try and kick tur mps ass now do not that take a set of ball s,OFF,TIN,IND
38561,you are shocked to hear that liberals want to centralize power at the federal level,NOT,,
55203,he is best of the best smiling face with heart eyes smiling face with heart eyes,NOT,,
31776,whati learned today liberals cannot win without lying,NOT,,
60916,fast and furious holder lol,NOT,,
97277,getting scared ugly man,OFF,TIN,IND
63113,is one of the only shows that are a progressive that i can stand to watch he dislikes the right and left evenly and you know who he is right from the start if you have never seen his show check it out on youtube insightful red heart united states maga,NOT,,
59721,he is not supreme court worthy,NOT,,
53839,god i hope not,NOT,,
15616,yes he is,NOT,,
95200,bitch,OFF,UNT,
77769,amp terroism amp starvation amp flint amp poverty amp climate change amp global warming amp sex trafficking amp bullying amp body shaming amp police brutality amp feminism amp gun control amp marches amp protests,OFF,TIN,IND
65790,i cannot prove causation either but while the conservatives in cda surely love the idea of bashing pm cannot help but think the y are also egging the former to continue the bashing to boost their fortune s vainly,NOT,,
48548,republican men in a picture and what are men of that age are law makers too old no sorry young republicans are like young conservatives they are all born at years of age,NOT,,
83751,liberals cannot meme they have no sense of humor or knowledge of meme ing philosophy,NOT,,
62541,any she is stunning,NOT,,
62107,yea your the bitch on the right getting smacked,OFF,UNT,
18474,why the focus on the proud boys i know you are not a real journalist kelly but why not focus on the ones doing all of the violence antifa if you want a story focus on why journalists leftist activists are constantly ignoring anti fa s attacks on people,NOT,,
33096,hahaha big thighs is not going to make it,OFF,TIN,IND
22879,it is called educating liberal s,NOT,,
81470,maga christine ford trump tcot ccot america first patriots brett kavanaugh had this to say about bill clinton during whitewater it is imperative to make his pattern of revolting behavior clear piece by painful piece indeed,OFF,TIN,IND
20322,maga people are very low iq gdp growth means literally nothing in no way does this translate to higher income for white familes or individuals all that billions goes to companies or government and what jobs did he create labour which pays less than living wage lmao,OFF,TIN,IND
26694,if you won na get paid pick up the energy people scream and shout like you are at the kavanaugh hearing,NOT,,
60130,bro go watch how he hold his back wood in the interview like that shit was irritating lmao nigga is mad suspicious,OFF,TIN,IND
54559,a bitch built like that could beat my ass all she wants,OFF,TIN,IND
34961,trash,NOT,,
14285,very pathetic man,OFF,TIN,IND
25012,she is new psychology thinker who think about religion and so aggressive on her thought before deeply think on hinduism grinning face grinning face grinning fa c e grinning face,NOT,,
19121,should have played saint marie instead of london docks saint was ass for me ok hand,NOT,,
61272,thank goodness he is not mn passive aggressive love it,NOT,,
25360,we can empty all our prisons also and just say they broke no laws liberal logic,NOT,,
56949,she is an angel much love to her,NOT,,
34893,for what why are you asking for his arrest liberals being butthurt for months is not an impeachable offense,NOT,,
90958,the tolerant left,NOT,,
42133,you must be talking about hateful conservatives,OFF,TIN,GRP
18834,that is correct maga,OFF,TIN,IND
12741,show me a single case where antifa have actually murdered someone because the far right murdered someone at charlottesville person shrugging hypocrisy works both ways,NOT,,
42528,if bobby is fit that is exactly what i would say but not sure if he is or not,NOT,,
29300,the only white people that thank jesus are republicans amp ex crackheads so say america hating liberals about christians many ex dems thank jesus to o amp many former emmys watchers we thank jesus daily for our country our amp the ability to turn you of f,NOT,,
14850,does skip realize that by saying you should become a professional tweeter that he is kind of shitting on sports casters how many td receptions skip have this year,NOT,,
38043,this leftist is what is wrong in liberal college s more ppl and students will come out and will unmask this corrupt woman who is determined to destroy a good judge because she wants only liberals in the courts,OFF,TIN,IND
40340,she is just feeling his touch first time smiling face with heart eyes smiling face with heart e yes smiling fa ce with heart ey es smiling face with heart e yes smiling face with heart eyes smiling face with heart eyes,NOT,,
76709,this is great mark the great one levin and candace the great owens together this team is unbeatable they just sent liberals into a frenzy again a whole block of liberal voters just had their heads explode and sadly alyssa milano just wet her pants again great team,OFF,TIN,GRP
22728,strata data ai data hairball td av is touring the application of cognitive and machine learning techniques to speed governance of data,OFF,TIN,GRP
14037,you are grossly misinterpreting who is against this people across all parties condemn this action look no further than bill davis and brian mulroney to see that even conservatives think this is a horrible decision,NOT,,
