text,character,text_norm,token_text_norm,POS,POS_tagged,f_measure,word_count,length,diag_act,LE_C,TS,mispelled
He's had such a horrible time. I wouldn't...Stop it.,CLARE,he 's had such a horrible time . i would n't ... stop it .,he horrible time wouldnt stop,PRP POS VBD PDT DT JJ NN . PRP MD RB . . . VB PRP .,He_PRP 's_POS had_VBD such_PDT a_DT horrible_JJ time_NN ._. I_PRP would_MD n't_RB ._. ._. ._. Stop_VB it_PRP ._.,41.666666666666664,12,52,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",9,2.0,1
"It's not about the money, Max.  It never was. All I've ever wanted is you. That's all.",TANYA,"it 's not about the money , max . it never was . all i 've ever wanted is you . that 's all .",money max never ive ever wanted thats,"PRP VBZ RB IN DT NN , NNP . PRP RB VBD . DT PRP VBP RB VBN VBZ PRP . DT VBZ DT .","It_PRP 's_VBZ not_RB about_IN the_DT money_NN ,_, Max_NNP ._. It_PRP never_RB was_VBD ._. All_DT I_PRP 've_VBP ever_RB wanted_VBN is_VBZ you_PRP ._. That_DT 's_VBZ all_DT ._.",35.0,20,86,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",17,2.0,0
You must have to go to some unusual houses in your job.,IAN,you must have to go to some unusual houses in your job .,must go unusual house job,PRP MD VB TO VB TO DT JJ NNS IN PRP$ NN .,You_PRP must_MD have_VB to_TO go_VB to_TO some_DT unusual_JJ houses_NNS in_IN your_PRP$ job_NN ._.,54.166666666666664,12,55,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",12,6.0,0
Yeah. If she'd had been on the boat to begin with.,SHIRLEY,yeah . if she 'd had been on the boat to begin with .,yeah shed boat begin,UH . IN PRP VBD VBD VBN IN DT NN TO VB IN .,Yeah_UH ._. If_IN she_PRP 'd_VBD had_VBD been_VBN on_IN the_DT boat_NN to_TO begin_VB with_IN ._.,45.833333333333336,12,50,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",11,2.0,0
I was worried about you.,HEATHER,i was worried about you .,worried,PRP VBD VBN IN PRP .,I_PRP was_VBD worried_VBN about_IN you_PRP ._.,20.0,5,24,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",5,0.0,0
"Alright. Is that why you haven't signed those forms yet?  To transfer the shares?  I called your solicitor, Max, to ask him where they were.  And surprise, surprise, he said he'd already posted them.",TANYA,"alright . is that why you have n't signed those forms yet ? to transfer the shares ? i called your solicitor , max , to ask him where they were . and surprise , surprise , he said he 'd already posted them .",alright havent signed form yet transfer share called solicitor max ask surprise surprise said hed already posted,"NNP . VBZ IN WRB PRP VBP RB VBN DT NNS RB . TO VB DT NNS . PRP VBD PRP$ NN , NNP , TO VB PRP WRB PRP VBD . CC NN , NN , PRP VBD PRP MD RB VB PRP .","Alright_NNP ._. Is_VBZ that_IN why_WRB you_PRP have_VBP n't_RB signed_VBN those_DT forms_NNS yet_RB ?_. To_TO transfer_VB the_DT shares_NNS ?_. I_PRP called_VBD your_PRP$ solicitor_NN ,_, Max_NNP ,_, to_TO ask_VB him_PRP where_WRB they_PRP were_VBD ._. And_CC surprise_NN ,_, surprise_NN ,_, he_PRP said_VBD he_PRP 'd_MD already_RB posted_VB them_PRP ._.",33.33333333333333,36,199,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",34,15.0,0
But I'm here now I thought near death experiences changed people for the better.,HEATHER,but i 'm here now i thought near death experiences changed people for the better .,im thought near death experience changed people well,CC PRP VBP RB RB PRP VBD RB NN NNS VBD NNS IN DT JJR .,But_CC I_PRP 'm_VBP here_RB now_RB I_PRP thought_VBD near_RB death_NN experiences_NNS changed_VBD people_NNS for_IN the_DT better_JJR ._.,43.33333333333333,15,80,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",14,7.0,0
"So you take off again, eh? What a surprise. You're gonna end up like some sad, lonely old cow in some hostel that noone gives a toss about. Why are you doing this, eh?",GARRY,"so you take off again , eh ? what a surprise . you 're gon na end up like some sad , lonely old cow in some hostel that noone gives a toss about . why are you doing this , eh ?",take eh surprise youre gonna end like sad lonely old cow hostel noone give toss eh,"RB PRP VBP RP RB , VB . WP DT NN . PRP VBP VBG TO VB RP IN DT JJ , RB JJ NN IN DT NN IN NN VBZ DT NN IN . WRB VBP PRP VBG DT , VB .","So_RB you_PRP take_VBP off_RP again_RB ,_, eh_VB ?_. What_WP a_DT surprise_NN ._. You_PRP 're_VBP gon_VBG na_TO end_VB up_RP like_IN some_DT sad_JJ ,_, lonely_RB old_JJ cow_NN in_IN some_DT hostel_NN that_IN noone_NN gives_VBZ a_DT toss_NN about_IN ._. Why_WRB are_VBP you_PRP doing_VBG this_DT ,_, eh_VB ?_.",48.61111111111111,36,167,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",34,3.0,0
"No no, that's the development, they've offered me a job.",BRADLEY,"no no , that 's the development , they 've offered me a job .",thats development theyve offered job,"DT DT , WDT VBZ DT NN , PRP VBP VBN PRP DT NN .","No_DT no_DT ,_, that_WDT 's_VBZ the_DT development_NN ,_, they_PRP 've_VBP offered_VBN me_PRP a_DT job_NN ._.",58.333333333333336,12,56,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",10,5.0,0
How the hell should I know?,SHIRLEY,how the hell should i know ?,hell know,WRB DT NN MD PRP VB .,How_WRB the_DT hell_NN should_MD I_PRP know_VB ?_.,41.66666666666667,6,27,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",6,0.0,0
And you?,SEAN,and you ?,,CC PRP .,And_CC you_PRP ?_.,25.0,2,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",2,0.0,0
Remember we're seeing the accountant later.,JANE,remember we 're seeing the accountant later .,remember seeing accountant later,NNP PRP VBP VBG DT NN RB .,Remember_NNP we_PRP 're_VBP seeing_VBG the_DT accountant_NN later_RB ._.,42.85714285714286,7,43,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",6,10.0,0
"I would. You turn up with food for twenty and a room full of two hundred, you'll have a riot on your hands.",CHRISTIAN,"i would . you turn up with food for twenty and a room full of two hundred , you 'll have a riot on your hands .",would turn food twenty room full two hundred youll riot hand,"PRP MD . PRP VBP RP IN NN IN NN CC DT NN JJ IN CD CD , PRP MD VB DT NN IN PRP$ NNS .","I_PRP would_MD ._. You_PRP turn_VBP up_RP with_IN food_NN for_IN twenty_NN and_CC a_DT room_NN full_JJ of_IN two_CD hundred_CD ,_, you_PRP 'll_MD have_VB a_DT riot_NN on_IN your_PRP$ hands_NNS ._.",62.5,24,107,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",23,0.0,0
Yeah course.,GARRY,yeah course .,yeah course,PRP$ NN .,Yeah_PRP$ course_NN ._.,50.0,2,12,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",2,0.0,0
You'll have hours to think about what you did to me.,TANYA,you 'll have hours to think about what you did to me .,youll hour think,PRP MD VB NNS TO VB IN WP PRP VBD TO PRP .,You_PRP 'll_MD have_VB hours_NNS to_TO think_VB about_IN what_WP you_PRP did_VBD to_TO me_PRP ._.,29.166666666666668,12,52,"[0, 0, 0, 0, 0, 0, 0, 1, 0]",11,1.0,0
And nearly a whole year till next Christmas.,RONNIE,and nearly a whole year till next christmas .,nearly whole year till next christmas,CC RB DT JJ NN NN IN NNP .,And_CC nearly_RB a_DT whole_JJ year_NN till_NN next_IN Christmas_NNP ._.,81.25,8,44,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",8,3.0,0
Yeah. Yeah. Not bad.,IAN,yeah . yeah . not bad .,yeah yeah bad,UH . UH . RB JJ .,Yeah_UH ._. Yeah_UH ._. Not_RB bad_JJ ._.,25.0,4,20,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",4,1.0,0
They've gone ...,SEAN,they 've gone ...,theyve gone,PRP VBP VBN . . .,They_PRP 've_VBP gone_VBN ._. ._. ._.,7.105427357601002e-15,3,16,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",2,1.0,0
"No,no, it was definitely something I said that upset her.",JANE,"no , no , it was definitely something i said that upset her .",definitely something said upset,"DT , DT , PRP VBD RB NN PRP VBD IN VBD PRP .","No_DT ,_, no_DT ,_, it_PRP was_VBD definitely_RB something_NN I_PRP said_VBD that_IN upset_VBD her_PRP ._.",36.36363636363637,11,57,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",10,6.0,0
What's all this about going to Fargos? Eight o'clock? I hope it's not a date?,IAN,what 's all this about going to fargos ? eight o'clock ? i hope it 's not a date ?,whats going fargos eight oclock hope date,WP VBZ DT DT IN VBG TO NNP . NNP IN . PRP VBP PRP VBZ RB DT NN .,What_WP 's_VBZ all_DT this_DT about_IN going_VBG to_TO Fargos_NNP ?_. Eight_NNP o'clock_IN ?_. I_PRP hope_VBP it_PRP 's_VBZ not_RB a_DT date_NN ?_.,50.0,18,77,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",15,3.0,1
Sorry.,HEATHER,sorry .,sorry,NNP .,Sorry_NNP ._.,100.0,1,6,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
You sure you're okay?,SEAN,you sure you 're okay ?,sure youre okay,PRP VBP PRP VBP PRP .,You_PRP sure_VBP you_PRP 're_VBP okay_PRP ?_.,0.0,5,21,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",4,0.0,0
"I er, left it too late to get my service-wash back. It was either this or one of Dot's anoraks.",CLARE,"i er , left it too late to get my service-wash back . it was either this or one of dot 's anoraks .",er left late get servicewash back either one dot anorak,"PRP VBP , VBD PRP RB RB TO VB PRP$ JJ RB . PRP VBD RB DT CC CD IN NNP POS NNS .","I_PRP er_VBP ,_, left_VBD it_PRP too_RB late_RB to_TO get_VB my_PRP$ service-wash_JJ back_RB ._. It_PRP was_VBD either_RB this_DT or_CC one_CD of_IN Dot_NNP 's_POS anoraks_NNS ._.",33.333333333333336,22,95,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",20,2.0,0
She says that one time I will not be responsible for my actions.,GARRY,she says that one time i will not be responsible for my actions .,say one time responsible action,PRP VBZ IN CD NN PRP MD RB VB JJ IN PRP$ NNS .,She_PRP says_VBZ that_IN one_CD time_NN I_PRP will_MD not_RB be_VB responsible_JJ for_IN my_PRP$ actions_NNS ._.,46.15384615384615,13,64,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",13,5.0,0
Don't worry about me. Plenty of juice left in the old tank.,RONNIE,do n't worry about me . plenty of juice left in the old tank .,dont worry plenty juice left old tank,VBP RB VB IN PRP . NNP IN NN VBN IN DT JJ NN .,Do_VBP n't_RB worry_VB about_IN me_PRP ._. Plenty_NNP of_IN juice_NN left_VBN in_IN the_DT old_JJ tank_NN ._.,61.53846153846154,13,59,"[0, 0, 0, 0, 0, 1, 0, 0, 0]",12,1.0,0
... I canask my Mum you know...,STACEY,... i canask my mum you know ...,canask mum know,. . . PRP VBP PRP$ NNP PRP VBP . . .,._. ._. ._. I_PRP canask_VBP my_PRP$ Mum_NNP you_PRP know_VBP ._. ._. ._.,16.66666666666667,6,31,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",6,1.0,1
"I've settled in really well mummy, the Square feels like home now.And that's where I work. Very responsible job washing people's smalls. And Mrs Branning's ever so friendly, everyone is. Walford's lovely.",HEATHER,"i 've settled in really well mummy , the square feels like home now.and that 's where i work . very responsible job washing people 's smalls . and mrs branning 's ever so friendly , everyone is . walford 's lovely .",ive settled really well mummy square feel like home thats work responsible job washing people small mr brannings ever friendly everyone walfords lovely,"PRP VBP VBN IN RB RB NN , DT NNP NNS IN NN RB . CC DT VBZ WRB PRP VBP . RB JJ NN VBG NNS POS NNS . CC NNP NNP POS RB RB JJ , NN VBZ . NNP POS RB .","I_PRP 've_VBP settled_VBN in_IN really_RB well_RB mummy_NN ,_, the_DT Square_NNP feels_NNS like_IN home_NN now_RB ._. And_CC that_DT 's_VBZ where_WRB I_PRP work_VBP ._. Very_RB responsible_JJ job_NN washing_VBG people_NNS 's_POS smalls_NNS ._. And_CC Mrs_NNP Branning_NNP 's_POS ever_RB so_RB friendly_JJ ,_, everyone_NN is_VBZ ._. Walford_NNP 's_POS lovely_RB ._.",51.31578947368421,38,204,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",32,6.0,1
What?,TANYA,what ?,,WP .,What_WP ?_.,0.0,1,5,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
Jane's been slaving away all afternoon.,STEVEN,jane 's been slaving away all afternoon .,janes slaving away afternoon,NNP POS VBN VBG RB DT NN .,Jane_NNP 's_POS been_VBN slaving_VBG away_RB all_DT afternoon_NN ._.,50.0,7,39,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",6,7.0,0
You gonna be alright? I should get back to work.,MAX,you gon na be alright ? i should get back to work .,gonna alright get back work,PRP VBP TO VB VBN . PRP MD VB RB TO NN .,You_PRP gon_VBP na_TO be_VB alright_VBN ?_. I_PRP should_MD get_VB back_RB to_TO work_NN ._.,22.727272727272727,11,48,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",10,0.0,0
Ah this is so sweet.,ROXY,ah this is so sweet .,ah sweet,NNP DT VBZ RB JJ .,Ah_NNP this_DT is_VBZ so_RB sweet_JJ ._.,60.0,5,20,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",5,2.0,0
"Yeah, I suppose. Unless... we both go?ﬁHESITANTﬂ]",MAX,"yeah , i suppose . unless ... we both go ? ﬁhesitantﬂ ]",yeah suppose unless go hesitant,"UH , PRP VBP . NNP . . . PRP DT VB . CD NN","Yeah_UH ,_, I_PRP suppose_VBP ._. Unless_NNP ._. ._. ._. we_PRP both_DT go_VB ?_. ﬁHESITANTﬂ_CD ]_NN",38.888888888888886,8,49,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",7,8.0,1
It's not important love.,IAN,it 's not important love .,important love,PRP VBZ RB JJ NN .,It_PRP 's_VBZ not_RB important_JJ love_NN ._.,40.0,5,24,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",4,2.0,0
"Baby you won't alright. I told you, I'm one hundred per cent committed.  The only question is, are you?",MAX,"baby you wo n't alright . i told you , i 'm one hundred per cent committed . the only question is , are you ?",baby wont alright told im one hundred per cent committed question,"NNP PRP MD RB VB . PRP VBD PRP , PRP VBP CD VBN IN NN VBN . DT JJ NN VBZ , VBP PRP .","Baby_NNP you_PRP wo_MD n't_RB alright_VB ._. I_PRP told_VBD you_PRP ,_, I_PRP 'm_VBP one_CD hundred_VBN per_IN cent_NN committed_VBN ._. The_DT only_JJ question_NN is_VBZ ,_, are_VBP you_PRP ?_.",33.333333333333336,21,103,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",19,5.0,0
I ain't chucking anything away.,STACEY,i ai n't chucking anything away .,aint chucking anything away,PRP VBP RB VBG NN RB .,I_PRP ai_VBP n't_RB chucking_VBG anything_NN away_RB ._.,16.66666666666667,6,31,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",5,7.0,0
Oh oh oh.  I'll leave you to it.,IAN,oh oh oh . i 'll leave you to it .,oh oh oh ill leave,UH JJ UH . PRP MD VB PRP TO PRP .,Oh_UH oh_JJ oh_UH ._. I_PRP 'll_MD leave_VB you_PRP to_TO it_PRP ._.,22.22222222222223,9,32,"[0, 0, 0, 0, 0, 0, 0, 0, 1]",8,1.0,0
"No, I'm not.",STACEY,"no , i 'm not .",im,"DT , PRP VBP RB .","No_DT ,_, I_PRP 'm_VBP not_RB ._.",25.0,4,12,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",3,1.0,0
"Louise, darlin', please...",PHIL,"louise , darlin ' , please ...",louise darlin please,"NNP , NN '' , NN . . .","Louise_NNP ,_, darlin_NN '_'' ,_, please_NN ._. ._. ._.",100.0,3,26,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",3,1.0,1
"I mean what is it with straight blokes and flowers? Where do they learn that a bunch of dead daises some how gets them out of trouble? I never bought anybody flowers, ever.",CHRISTIAN,"i mean what is it with straight blokes and flowers ? where do they learn that a bunch of dead daises some how gets them out of trouble ? i never bought anybody flowers , ever .",mean straight bloke flower learn bunch dead dais get trouble never bought anybody flower ever,"PRP VBP WP VBZ PRP IN JJ NNS CC NNS . WRB VBP PRP VB IN DT NN IN JJ NNS DT WRB VBZ PRP IN IN NN . PRP RB VBD NN NNS , RB .","I_PRP mean_VBP what_WP is_VBZ it_PRP with_IN straight_JJ blokes_NNS and_CC flowers_NNS ?_. Where_WRB do_VBP they_PRP learn_VB that_IN a_DT bunch_NN of_IN dead_JJ daises_NNS some_DT how_WRB gets_VBZ them_PRP out_IN of_IN trouble_NN ?_. I_PRP never_RB bought_VBD anybody_NN flowers_NNS ,_, ever_RB ._.",50.0,33,172,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",33,5.0,1
"Shirley is worth you lot put together. She's kind, she's considerate.",HEATHER,"shirley is worth you lot put together . she 's kind , she 's considerate .",shirley worth lot put together shes kind shes considerate,"NNP VBZ IN PRP VBP VBN RB . PRP VBZ NN , PRP VBZ NN .","Shirley_NNP is_VBZ worth_IN you_PRP lot_VBP put_VBN together_RB ._. She_PRP 's_VBZ kind_NN ,_, she_PRP 's_VBZ considerate_NN ._.",30.769230769230766,13,69,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",11,7.0,0
You can't do the catering for the funeral.,ROXY,you ca n't do the catering for the funeral .,cant catering funeral,PRP MD RB VB DT NN IN DT JJ .,You_PRP ca_MD n't_RB do_VB the_DT catering_NN for_IN the_DT funeral_JJ ._.,61.111111111111114,9,42,"[0, 0, 0, 0, 1, 0, 0, 0, 0]",8,4.0,0
Alright?,HEATHER,alright ?,alright,NNP .,Alright_NNP ?_.,100.0,1,8,"[0, 0, 0, 1, 0, 0, 0, 0, 0]",1,0.0,0
Of course you will be.,TANYA,of course you will be .,course,IN NN PRP MD VB .,Of_IN course_NN you_PRP will_MD be_VB ._.,50.0,5,22,"[0, 1, 0, 0, 0, 0, 0, 0, 0]",5,2.0,0
To make it LOOK like they came in through the back door.,JACK,to make it look like they came in through the back door .,make look like came back door,TO VB PRP NNP IN PRP VBD IN IN DT JJ NN .,To_TO make_VB it_PRP LOOK_NNP like_IN they_PRP came_VBD in_IN through_IN the_DT back_JJ door_NN ._.,62.5,12,56,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",12,1.0,0
I mean there's all those extra vol-au-vents to collect - and the filling.,IAN,i mean there 's all those extra vol-au-vents to collect - and the filling .,mean there extra volauvents collect filling,PRP VBP EX VBZ DT DT JJ NNS TO VB : CC DT NN .,I_PRP mean_VBP there_EX 's_VBZ all_DT those_DT extra_JJ vol-au-vents_NNS to_TO collect_VB -_: and_CC the_DT filling_NN ._.,57.69230769230769,15,73,"[1, 0, 0, 0, 0, 0, 0, 0, 0]",12,6.0,0
"You ever wondered where the meter is at Buckingham Palace? Underneath a golden staircase? I could have a look for you if you like. I'm going there, Monday.Guest of a local dignitary. Not bad for the son of a barrow boy.METER",IAN,"you ever wondered where the meter is at buckingham palace ? underneath a golden staircase ? i could have a look for you if you like . i 'm going there , monday.guest of a local dignitary . not bad for the son of a barrow boy.meter",ever wondered meter buckingham palace underneath golden staircase could look like im going monday guest local dignitary bad son barrow boy meter,"PRP RB VBD WRB DT NN VBZ IN NNP NNP . IN DT JJ NN . PRP MD VB DT NN IN PRP IN PRP VBP . PRP VBP VBG RB , NNP . NNP IN DT JJ NN . RB JJ IN DT NN IN DT NN NN . NN","You_PRP ever_RB wondered_VBD where_WRB the_DT meter_NN is_VBZ at_IN Buckingham_NNP Palace_NNP ?_. Underneath_IN a_DT golden_JJ staircase_NN ?_. I_PRP could_MD have_VB a_DT look_NN for_IN you_PRP if_IN you_PRP like_VBP ._. I_PRP 'm_VBP going_VBG there_RB ,_, Monday_NNP ._. Guest_NNP of_IN a_DT local_JJ dignitary_NN ._. Not_RB bad_JJ for_IN the_DT son_NN of_IN a_DT barrow_NN boy_NN ._. METER_NN",64.77272727272727,44,224,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",41,4.0,0
So she didn't send you round here because she was too scared to come herself?,JACK,so she did n't send you round here because she was too scared to come herself ?,didnt send round scared come,IN PRP VBD RB VB PRP VBP RB IN PRP VBD RB VBN TO VB PRP .,So_IN she_PRP did_VBD n't_RB send_VB you_PRP round_VBP here_RB because_IN she_PRP was_VBD too_RB scared_VBN to_TO come_VB herself_PRP ?_.,15.625,16,77,"[0, 0, 1, 0, 0, 0, 0, 0, 0]",15,6.0,0
